iter	time	rmse
0	1.37e-07	3.64052
2	1.3644	0.986591
4	2.72875	0.908926
6	4.09314	0.894029
8	5.45363	0.888032
10	6.81268	0.884025
12	8.17402	0.87824
14	9.53427	0.870582
16	10.9001	0.86459
18	12.2633	0.860595
20	13.6273	0.857825
22	14.9916	0.85576
24	16.3558	0.854074
26	17.7182	0.852535
28	19.0825	0.850975
30	20.4433	0.849353
32	21.8058	0.847733
34	23.1691	0.846196
36	24.5315	0.844801
38	25.895	0.843573
40	27.2603	0.842489
42	28.6215	0.841523
44	29.9819	0.840645
46	31.3419	0.839826
48	32.7023	0.839035
50	34.0656	0.838276
52	35.4228	0.837544
54	36.7866	0.836791
56	38.1527	0.836046
58	39.5171	0.835313
60	40.88	0.834566
62	42.2417	0.83383
64	43.6007	0.833111
66	44.9625	0.832427
68	46.3243	0.831774
