iter	time	rmse
0	8.5e-08	3.63611
5	1.13048	0.896976
10	2.13824	0.881737
15	3.19288	0.864758
20	4.33283	0.855883
25	5.52178	0.85148
30	6.72679	0.847529
35	7.73907	0.843746
40	8.7437	0.840928
45	9.75574	0.838838
50	10.7614	0.837093
55	11.7728	0.835485
60	12.7769	0.833885
65	13.7862	0.832237
70	14.7939	0.830614
75	15.8527	0.829148
80	16.8801	0.827871
85	17.889	0.826811
90	18.9668	0.825902
95	20.1245	0.825083
100	21.2827	0.824328
105	22.4205	0.823603
110	23.4609	0.822911
115	24.4837	0.82225
120	25.496	0.821637
125	26.5086	0.821089
130	27.6036	0.820584
135	28.7443	0.820136
140	29.8863	0.819743
145	31.0042	0.8194
150	32.0107	0.819099
155	33.0205	0.81883
160	34.0299	0.818583
165	35.0388	0.818368
170	36.1809	0.818164
175	37.3409	0.817973
180	38.5093	0.817789
185	39.5988	0.817614
190	40.6194	0.817444
195	41.6377	0.817286
200	42.7566	0.817139
205	43.8361	0.816993
210	45.0301	0.816856
