iter	time	rmse
0	2.07e-07	3.64029
1	0.438114	1.82799
2	0.874947	0.984045
3	1.31335	0.926445
4	1.75226	0.907181
5	2.19048	0.897891
6	2.62845	0.892529
7	3.06469	0.889068
8	3.50319	0.886626
9	3.94221	0.884642
10	4.38107	0.882671
11	4.81836	0.880212
12	5.256	0.876928
13	5.69391	0.873058
14	6.13447	0.869278
15	6.57133	0.865998
16	7.01077	0.863308
17	7.46427	0.861106
18	7.91501	0.859291
19	8.35431	0.857779
20	8.81474	0.856497
21	9.25159	0.855395
22	9.68528	0.854402
23	10.1239	0.853484
24	10.5635	0.852625
25	10.995	0.851792
26	11.4337	0.850976
27	11.8724	0.850155
28	12.3113	0.849331
29	12.7499	0.848489
30	13.1889	0.847644
31	13.6226	0.846815
32	14.0617	0.846012
33	14.4973	0.845237
34	14.9359	0.844509
35	15.373	0.843815
36	15.8122	0.843161
37	16.2482	0.842559
38	16.6883	0.841981
39	17.1242	0.841442
40	17.5561	0.840933
41	17.9936	0.840454
42	18.4325	0.839987
43	18.8719	0.839547
44	19.3111	0.839119
45	19.75	0.838706
46	20.1835	0.838305
47	20.623	0.83792
48	21.0584	0.837533
49	21.4949	0.837144
50	21.9333	0.836763
51	22.3731	0.836399
52	22.8124	0.836026
53	23.2518	0.835653
54	23.6902	0.835283
55	24.1287	0.834918
56	24.5677	0.834545
57	25.007	0.834167
58	25.4473	0.833793
59	25.8854	0.833413
60	26.3243	0.833046
61	26.7633	0.832683
62	27.2006	0.832313
63	27.6387	0.831959
64	28.0776	0.831603
65	28.5151	0.831258
66	28.955	0.830922
67	29.3933	0.830596
68	29.8316	0.830276
69	30.27	0.829972
70	30.7092	0.829673
71	31.1481	0.829381
72	31.5871	0.829113
73	32.0254	0.828847
74	32.4647	0.828591
75	32.9032	0.828345
76	33.3422	0.828105
77	33.7805	0.827881
78	34.2197	0.827656
79	34.6591	0.827443
80	35.0974	0.827234
81	35.5358	0.827027
82	35.9741	0.826826
83	36.4132	0.826631
84	36.8502	0.826439
85	37.2892	0.82625
86	37.7287	0.826065
87	38.1668	0.825884
88	38.6057	0.825703
89	39.0446	0.82553
90	39.482	0.825361
91	39.9203	0.825189
92	40.3553	0.82502
93	40.7946	0.824848
94	41.23	0.824686
95	41.6694	0.824519
96	42.1079	0.824352
97	42.5468	0.824193
98	42.9858	0.824025
99	43.4253	0.823867
100	43.8636	0.823711
101	44.3029	0.823549
102	44.7417	0.823393
103	45.1778	0.823233
104	45.6161	0.82308
105	46.0547	0.822929
106	46.4936	0.822781
107	46.9329	0.822632
108	47.3719	0.822484
109	47.8105	0.82234
110	48.2493	0.8222
111	48.6894	0.822057
112	49.1283	0.821913
113	49.5673	0.821779
114	50.0049	0.821647
115	50.4381	0.821513
116	50.8836	0.821387
117	51.3222	0.821258
118	51.7611	0.821135
119	52.1993	0.821021
120	52.6382	0.820902
121	53.0732	0.820787
122	53.5123	0.820678
123	53.9507	0.820569
124	54.3888	0.820461
125	54.8242	0.820356
126	55.2633	0.820252
127	55.7017	0.820148
128	56.1418	0.82005
129	56.5804	0.819957
130	57.0191	0.819859
131	57.4575	0.819765
132	57.8957	0.819674
133	58.3337	0.819585
134	58.7723	0.8195
135	59.2108	0.81941
136	59.6502	0.819326
137	60.0883	0.819245
138	60.527	0.819165
139	60.9654	0.819087
140	61.4039	0.819008
141	61.8425	0.818932
142	62.2806	0.818859
143	62.7186	0.818785
144	63.1571	0.818714
145	63.5957	0.818643
146	64.0341	0.818574
147	64.4727	0.81851
148	64.9077	0.818442
149	65.3457	0.818376
150	65.7839	0.818313
151	66.2218	0.818245
152	66.6603	0.818185
153	67.0989	0.818121
154	67.5345	0.818057
155	67.9696	0.817994
156	68.4077	0.817932
157	68.8462	0.817875
158	69.2848	0.817819
159	69.7234	0.817759
160	70.1615	0.8177
161	70.6015	0.817639
162	71.0401	0.817578
163	71.4788	0.817525
164	71.9171	0.817472
165	72.3557	0.817418
166	72.7941	0.817363
167	73.2324	0.817309
168	73.6707	0.817255
169	74.109	0.817205
170	74.5473	0.817155
171	74.9857	0.817104
172	75.4236	0.817051
173	75.8618	0.816999
174	76.3009	0.816947
175	76.7397	0.816896
176	77.1788	0.816843
177	77.6155	0.816797
178	78.0541	0.81675
179	78.4921	0.816705
180	78.9309	0.816658
181	79.3693	0.816614
182	79.8079	0.816568
183	80.2474	0.816523
184	80.6859	0.81648
185	81.1243	0.816432
186	81.5635	0.816386
187	82.0019	0.816344
188	82.44	0.816304
189	82.8767	0.81626
190	83.3156	0.816222
191	83.7542	0.816181
192	84.1931	0.816141
193	84.6316	0.816097
194	85.0703	0.816059
195	85.5086	0.816024
196	85.9468	0.815986
197	86.3846	0.815948
198	86.8228	0.815914
199	87.2615	0.815877
200	87.6998	0.81584
201	88.1381	0.815803
202	88.5764	0.815769
203	89.0153	0.815736
204	89.4536	0.815704
205	89.8924	0.815672
206	90.3302	0.815641
