iter	time	rmse
0	1.04e-07	3.63609
5	1.14341	0.898073
10	2.17061	0.883008
15	3.18391	0.866241
20	4.1951	0.857092
25	5.20773	0.852684
30	6.22737	0.848846
35	7.23803	0.84499
40	8.24934	0.842075
45	9.26066	0.839947
50	10.2733	0.838206
55	11.2989	0.83664
60	12.3204	0.835137
65	13.3443	0.833632
70	14.5012	0.832076
75	15.661	0.830522
80	16.807	0.829092
85	17.8908	0.827836
90	18.9028	0.826734
95	19.9102	0.825747
100	20.919	0.824828
105	21.9295	0.823998
110	22.9364	0.823227
115	23.9445	0.822524
120	24.9529	0.82189
125	25.9598	0.821341
130	26.9659	0.820849
135	27.9717	0.820432
140	28.9781	0.820068
145	29.984	0.819747
150	30.9904	0.819468
155	31.9968	0.819216
160	33.0034	0.818985
165	34.0094	0.818775
170	35.0158	0.818583
175	36.0215	0.818392
180	37.0284	0.818222
185	38.0364	0.818055
190	39.0884	0.817898
195	40.0946	0.817751
200	41.1012	0.817611
205	42.1072	0.81748
210	43.1136	0.817363
215	44.1198	0.817251
220	45.128	0.817159
