iter	smin	time	rmse
0	0	0.00108764	3.6791
11	2895.37	1.04369	1.28694
22	3964.34	2.05391	1.02554
33	4299.63	3.08454	0.937067
44	4268.69	4.12599	0.896331
55	3982.62	5.15514	0.873776
66	3623	6.19435	0.859627
77	3254.65	7.23205	0.849957
88	2920.69	8.25938	0.84292
99	2645	9.28902	0.837528
110	2432.82	10.3083	0.833223
121	2278.95	11.3251	0.829662
132	2168.88	12.3506	0.826592
143	2086.44	13.37	0.823909
154	2024.39	14.396	0.821602
165	1980.29	15.4246	0.819632
176	1947.49	16.4513	0.817943
187	1916.09	17.4765	0.816508
198	1879.75	18.5271	0.81531
209	1844.12	19.5869	0.814317
220	1818.79	20.602	0.813518
231	1806.41	21.6084	0.812906
242	1803.12	22.622	0.812433
253	1803.12	23.6958	0.812042
264	1802.15	24.7731	0.811691
275	1798.55	25.8294	0.811341
286	1792.94	26.8417	0.810977
297	1786.77	27.877	0.810615
308	1781.73	28.9198	0.810258
319	1779.06	29.9451	0.809904
330	1778.66	30.9787	0.809569
341	1779.33	32.0157	0.809273
352	1779.17	33.0527	0.809023
363	1776.69	34.1198	0.808791
374	1771.86	35.1904	0.808558
384	1766.33	36.2013	0.808342
394	1760.94	37.2941	0.808125
404	1756.34	38.368	0.807919
414	1751.91	39.4017	0.807736
424	1747.08	40.4694	0.807581
434	1742.68	41.505	0.80745
444	1740.27	42.5225	0.807328
455	1741.52	43.6224	0.807191
466	1747.15	44.7307	0.807057
476	1754.95	45.772	0.806949
