iter	smin	time	rmse
0	0	0.00039292	3.6791
13	3925.98	1.04884	1.67346
26	4920.23	2.07733	1.40381
39	5437.69	3.08359	1.27414
53	5789.04	4.0933	1.19007
67	6030.38	5.104	1.1339
81	6207.18	6.17379	1.09344
95	6342.52	7.1854	1.06279
109	6449.51	8.20021	1.03873
123	6536.19	9.21809	1.0193
137	6607.79	10.2201	1.00328
151	6667.79	11.2235	0.989824
165	6718.68	12.2348	0.978358
179	6762.15	13.2834	0.968463
193	6799.55	14.2978	0.959833
207	6831.79	15.3374	0.952237
221	6859.65	16.4101	0.945495
235	6883.71	17.4277	0.939468
248	6903.04	18.4291	0.934415
262	6920.99	19.4666	0.929475
276	6936.27	20.5445	0.924983
290	6949.16	21.5931	0.920878
304	6959.88	22.6078	0.917112
318	6968.59	23.6307	0.913643
332	6975.46	24.6522	0.910436
346	6980.65	25.7137	0.907461
359	6984.06	26.7444	0.904884
372	6986.23	27.771	0.902467
386	6987.27	28.8111	0.900028
400	6987.05	29.8433	0.897741
414	6985.63	30.8821	0.895593
428	6983.11	31.9201	0.893569
442	6979.56	32.95	0.89166
456	6975.02	33.9968	0.889855
470	6969.59	35.0298	0.888146
484	6963.3	36.0552	0.886524
498	6956.18	37.0896	0.884984
512	6948.28	38.1338	0.883518
526	6939.68	39.1748	0.882122
539	6931.05	40.1863	0.880883
553	6921.13	41.217	0.879606
567	6910.56	42.2488	0.878385
581	6899.41	43.2724	0.877216
595	6887.69	44.2847	0.876096
609	6875.43	45.3007	0.875021
