iter	time	rmse
0	1.57e-07	3.64032
1	0.441989	1.82747
2	0.864646	0.985041
3	1.28538	0.927727
4	1.70755	0.908573
5	2.12987	0.899308
6	2.5526	0.894042
7	2.97563	0.890611
8	3.39707	0.88818
9	3.81912	0.886234
10	4.24198	0.884278
11	4.66463	0.881851
12	5.08693	0.878597
13	5.50909	0.874747
14	5.93134	0.870961
15	6.35339	0.867667
16	6.77578	0.864952
17	7.19801	0.862714
18	7.62012	0.860882
19	8.04062	0.859341
20	8.4639	0.858046
21	8.88615	0.856916
22	9.30911	0.855916
23	9.73063	0.854999
24	10.1531	0.854138
25	10.5752	0.853305
26	10.9971	0.852491
27	11.4184	0.851667
28	11.8391	0.850832
29	12.2617	0.849979
30	12.6841	0.849139
31	13.1062	0.848312
32	13.527	0.8475
33	13.9501	0.846715
34	14.3731	0.845978
35	14.7958	0.845268
36	15.2165	0.84461
37	15.6393	0.843992
38	16.0619	0.843411
39	16.4845	0.842864
40	16.9075	0.842342
41	17.3303	0.841852
42	17.7534	0.841373
43	18.1724	0.840923
44	18.5951	0.840498
45	19.0164	0.840074
46	19.4398	0.83968
47	19.8613	0.839277
48	20.2823	0.838883
49	20.703	0.838501
50	21.1261	0.838121
51	21.5483	0.837746
52	21.9702	0.837382
53	22.3929	0.837017
54	22.8155	0.836645
55	23.2378	0.836281
56	23.66	0.835914
57	24.0828	0.835544
58	24.5055	0.83517
59	24.9281	0.83481
60	25.3502	0.834445
61	25.7728	0.834088
62	26.1955	0.833731
63	26.6166	0.833377
64	27.0399	0.833026
65	27.4623	0.832689
66	27.8844	0.832352
67	28.3068	0.832025
68	28.7303	0.831699
69	29.1529	0.831381
70	29.5754	0.831079
71	29.9977	0.83078
72	30.4206	0.830497
73	30.8421	0.830223
74	31.2644	0.829959
75	31.6865	0.829712
76	32.1088	0.829469
77	32.5314	0.829238
78	32.9542	0.829008
79	33.3762	0.828797
80	33.7993	0.828584
81	34.222	0.828372
82	34.6419	0.828174
83	35.0657	0.827972
84	35.4879	0.827781
85	35.912	0.827595
86	36.3345	0.827407
87	36.758	0.827217
88	37.1794	0.827033
89	37.6023	0.826858
90	38.0223	0.826682
91	38.4455	0.826511
92	38.8681	0.826337
93	39.2911	0.826168
94	39.7132	0.825996
95	40.1355	0.82583
96	40.558	0.825669
97	40.9807	0.825503
98	41.404	0.825335
99	41.8258	0.825171
100	42.2479	0.825013
101	42.6697	0.824852
102	43.0927	0.824693
103	43.5149	0.824534
104	43.937	0.824375
105	44.3596	0.824221
106	44.7816	0.824067
107	45.2033	0.823918
108	45.6255	0.823773
109	46.0466	0.823623
110	46.4691	0.823482
111	46.8921	0.823338
112	47.3144	0.823193
113	47.737	0.823054
114	48.1591	0.822921
115	48.5818	0.822788
116	49.0042	0.822658
117	49.4262	0.822528
118	49.8463	0.8224
119	50.269	0.822276
120	50.6915	0.822159
121	51.1142	0.822045
122	51.5368	0.821929
123	51.9589	0.821815
124	52.3807	0.821706
125	52.8016	0.821599
126	53.2246	0.821496
127	53.6471	0.821393
128	54.0699	0.821293
129	54.4931	0.821196
130	54.9163	0.8211
131	55.3395	0.821007
132	55.7622	0.820914
133	56.1856	0.820832
134	56.6088	0.820749
135	57.0312	0.820662
136	57.4546	0.820582
137	57.8786	0.8205
138	58.3012	0.820422
139	58.724	0.82034
140	59.1472	0.82026
141	59.5711	0.820183
142	59.9942	0.820106
143	60.4168	0.820034
144	60.8399	0.819962
145	61.2633	0.81989
146	61.6865	0.819823
147	62.1091	0.819751
148	62.5319	0.819686
149	62.9549	0.819618
150	63.3781	0.819549
151	63.8007	0.819484
152	64.2217	0.819416
153	64.6451	0.819352
154	65.0687	0.81929
155	65.492	0.819225
156	65.9152	0.819162
157	66.3365	0.819102
158	66.7599	0.819045
159	67.1807	0.818989
160	67.6042	0.818927
161	68.0275	0.81887
162	68.4501	0.818814
163	68.8728	0.818759
164	69.2961	0.818702
165	69.7192	0.818647
166	70.1422	0.818595
167	70.5652	0.818537
168	70.9884	0.818482
169	71.4112	0.818431
170	71.8344	0.818381
171	72.2575	0.818331
172	72.6821	0.818281
173	73.1057	0.818231
174	73.5289	0.818178
175	73.9527	0.818128
176	74.3755	0.818078
177	74.7987	0.818033
178	75.2221	0.817983
179	75.6453	0.817934
180	76.0686	0.817891
181	76.4916	0.817847
182	76.9151	0.817804
183	77.3375	0.817764
184	77.7613	0.81772
185	78.1845	0.817678
186	78.6072	0.817631
187	79.0296	0.817592
188	79.4536	0.81755
189	79.8767	0.817509
190	80.2997	0.817467
191	80.7221	0.817426
192	81.1452	0.817388
193	81.5691	0.817349
194	81.9922	0.817309
195	82.4152	0.81727
196	82.8381	0.817235
197	83.2614	0.817194
198	83.6847	0.817156
199	84.1092	0.817122
200	84.5315	0.817087
201	84.956	0.817054
202	85.379	0.817017
203	85.802	0.816985
204	86.2244	0.816954
205	86.6469	0.816923
206	87.0704	0.816891
207	87.4934	0.816862
208	87.9167	0.81683
209	88.3398	0.816797
210	88.7631	0.816766
211	89.1824	0.816736
212	89.6064	0.816708
213	90.0302	0.816682
