iter	time	rmse
0	8.2e-08	3.64018
3	1.29458	0.927539
6	2.58952	0.893653
9	3.88447	0.885723
12	5.19019	0.877867
15	6.49511	0.866943
18	7.79041	0.860273
21	9.085	0.856375
24	10.3796	0.853644
27	11.6754	0.851211
30	12.9698	0.848714
33	14.2652	0.846279
36	15.5596	0.844142
39	16.8563	0.842346
42	18.1541	0.840842
45	19.448	0.839527
48	20.7462	0.83831
51	22.0453	0.83716
54	23.3412	0.836044
57	24.6398	0.834929
60	25.9355	0.833833
63	27.2327	0.832737
66	28.5302	0.8317
69	29.8249	0.830723
72	31.1222	0.829837
75	32.4201	0.829035
78	33.7172	0.828318
81	35.0152	0.827657
84	36.3088	0.827062
87	37.6021	0.82649
90	38.8983	0.825955
93	40.1895	0.825435
96	41.4847	0.824926
99	42.7798	0.824426
102	44.076	0.82393
105	45.3706	0.823467
