iter	time	rmse
0	1.35e-07	3.64053
2	1.35837	0.986121
4	2.71479	0.908973
6	4.07077	0.894271
8	5.43635	0.888353
10	6.80051	0.88446
12	8.1649	0.878816
14	9.52879	0.871146
16	10.895	0.865094
18	12.2592	0.861001
20	13.6218	0.858155
22	14.9855	0.856032
24	16.3487	0.854271
26	17.7128	0.852644
28	19.0728	0.851001
30	20.438	0.849327
32	21.8036	0.847693
34	23.1664	0.846168
36	24.5302	0.844799
38	25.8914	0.843601
40	27.2603	0.842531
42	28.6184	0.841581
44	29.9789	0.840716
46	31.3426	0.83991
48	32.7064	0.839134
50	34.0672	0.83838
52	35.422	0.837653
54	36.785	0.836919
56	38.1478	0.836189
58	39.5155	0.835454
60	40.8795	0.834712
62	42.2403	0.833992
64	43.6011	0.833288
66	44.9655	0.832609
68	46.3296	0.831947
