iter	smin	time	rmse
0	0	0.00108418	3.6791
8	1429.45	1.08732	1.43995
16	1902.52	2.15711	1.1311
24	2136.09	3.2276	1.01869
32	2218.29	4.29909	0.964078
40	2210.48	5.37125	0.932543
48	2146.82	6.47403	0.9121
56	2048.9	7.56353	0.897756
64	1934.22	8.67335	0.887062
72	1817.26	9.7924	0.87867
80	1707.3	10.9222	0.871788
88	1607.9	12.0359	0.865964
96	1521.78	13.1277	0.860979
104	1453.64	14.2248	0.856718
112	1405.08	15.306	0.853062
120	1372.38	16.4363	0.8499
128	1350.48	17.536	0.847157
136	1334.61	18.6151	0.844766
143	1322.31	19.6288	0.842913
151	1308.76	20.7048	0.841026
159	1297.27	21.776	0.839355
167	1289.07	22.8468	0.837873
175	1283.73	23.9166	0.836551
183	1280.14	24.9852	0.835372
191	1277.42	26.0595	0.834321
199	1275.3	27.1888	0.83339
207	1273.87	28.2782	0.832572
214	1272.92	29.2906	0.831939
221	1271.34	30.2999	0.831376
228	1268.48	31.3095	0.830869
236	1264.49	32.4381	0.830337
243	1261.28	33.4487	0.829907
251	1258.27	34.5643	0.829459
259	1255.86	35.6807	0.829052
266	1254.05	36.6938	0.828727
274	1252.23	37.8302	0.828383
281	1250.68	38.8518	0.828108
289	1248.79	39.9372	0.82783
297	1246.93	41.0349	0.827583
305	1244.94	42.1325	0.827359
313	1242.62	43.2382	0.827147
321	1239.85	44.3801	0.826933
328	1237.13	45.4418	0.826742
