iter	time	rmse
0	9.4e-08	3.63933
4	1.26407	0.907782
8	2.45333	0.887194
12	3.57105	0.87473
16	4.68905	0.862384
20	5.82776	0.856551
24	6.94745	0.853139
28	8.06746	0.850165
32	9.25753	0.846985
36	10.3762	0.844101
40	11.4938	0.841789
44	12.6113	0.839921
48	13.7289	0.838251
52	14.8465	0.836628
56	15.9641	0.834999
60	17.2461	0.833374
64	18.3672	0.831858
68	19.4855	0.830513
72	20.6036	0.829343
76	21.7208	0.828354
80	22.8385	0.827481
84	23.9577	0.826686
88	25.0751	0.825957
92	26.1936	0.825251
96	27.3107	0.824557
100	28.4289	0.82389
104	29.547	0.823245
108	30.6669	0.822647
112	31.7841	0.822087
116	32.9014	0.821571
120	34.0183	0.82111
124	35.1345	0.820684
128	36.2532	0.820296
132	37.3688	0.819946
136	38.4865	0.819628
140	39.6037	0.819327
144	40.7221	0.819058
148	41.8392	0.818812
152	42.9592	0.818565
156	44.0768	0.818336
160	45.1942	0.818123
