iter	time	rmse
0	1.96e-07	3.6403
1	0.424014	1.82581
2	0.849748	0.985498
3	1.27538	0.927842
4	1.69886	0.908524
5	2.12443	0.899183
6	2.54897	0.893795
7	2.97458	0.890308
8	3.40021	0.887849
9	3.82585	0.885869
10	4.25082	0.883871
11	4.6764	0.881405
12	5.10153	0.878115
13	5.52651	0.874271
14	5.95148	0.870494
15	6.37526	0.86721
16	6.80045	0.864514
17	7.22579	0.862311
18	7.65121	0.860515
19	8.07646	0.858992
20	8.50201	0.857714
21	8.92689	0.856602
22	9.35205	0.855601
23	9.77803	0.854694
24	10.2037	0.853836
25	10.6268	0.85302
26	11.052	0.852196
27	11.477	0.851373
28	11.9031	0.850543
29	12.3268	0.849701
30	12.7503	0.848855
31	13.1753	0.848028
32	13.6007	0.847218
33	14.0222	0.846447
34	14.4472	0.84571
35	14.8727	0.845012
36	15.2981	0.844359
37	15.7232	0.843746
38	16.1485	0.843173
39	16.5744	0.842627
40	16.999	0.84212
41	17.4243	0.841637
42	17.8498	0.841162
43	18.2757	0.840729
44	18.7011	0.840309
45	19.1261	0.839901
46	19.5512	0.839495
47	19.9755	0.83909
48	20.4004	0.838706
49	20.8238	0.838323
50	21.2488	0.837947
51	21.6742	0.837569
52	22.1	0.837197
53	22.5249	0.836819
54	22.9507	0.836442
55	23.376	0.83607
56	23.8017	0.835703
57	24.2271	0.835334
58	24.6521	0.834962
59	25.077	0.834579
60	25.4991	0.83421
61	25.924	0.833844
62	26.3478	0.833482
63	26.7714	0.833112
64	27.1965	0.832755
65	27.6218	0.832415
66	28.0472	0.832076
67	28.4731	0.831755
68	28.8987	0.831438
69	29.3233	0.831125
70	29.7483	0.830828
71	30.1741	0.830547
72	30.5996	0.830272
73	31.0254	0.830001
74	31.45	0.829745
75	31.8735	0.829492
76	32.299	0.829252
77	32.7245	0.829024
78	33.149	0.828792
79	33.5744	0.828576
80	34.0003	0.828366
81	34.4256	0.82816
82	34.8532	0.827955
83	35.2769	0.827762
84	35.701	0.827568
85	36.1258	0.827378
86	36.5515	0.827191
87	36.9771	0.827008
88	37.4026	0.826823
89	37.8277	0.826649
90	38.2534	0.826473
91	38.6786	0.826298
92	39.104	0.826126
93	39.5282	0.825956
94	39.9529	0.825785
95	40.38	0.825621
96	40.8038	0.825457
97	41.2287	0.82529
98	41.6537	0.825123
99	42.0784	0.824956
100	42.5039	0.824789
101	42.9275	0.824625
102	43.3523	0.824467
103	43.7777	0.824305
104	44.2032	0.824149
105	44.6277	0.823994
106	45.0512	0.823841
107	45.4764	0.823687
108	45.902	0.823535
109	46.327	0.82339
110	46.7525	0.823243
111	47.1768	0.823102
112	47.6022	0.822966
113	48.0272	0.822836
114	48.4526	0.822706
115	48.8781	0.822579
116	49.3039	0.822449
117	49.7289	0.82233
118	50.1532	0.822204
119	50.5758	0.822083
120	50.9989	0.821963
121	51.4236	0.821848
122	51.8483	0.821736
123	52.2739	0.821626
124	52.6993	0.821517
125	53.1251	0.82141
126	53.5494	0.82131
127	53.9749	0.821213
128	54.4004	0.821118
129	54.8256	0.821019
130	55.2483	0.820922
131	55.6741	0.820834
132	56.0979	0.820743
133	56.5216	0.820655
134	56.9473	0.820572
135	57.3725	0.820494
136	57.7979	0.820411
137	58.2219	0.820331
138	58.6469	0.820252
139	59.0713	0.820178
140	59.4956	0.820104
141	59.9205	0.820031
142	60.3442	0.819959
143	60.7692	0.819888
144	61.1952	0.819819
145	61.6203	0.819752
146	62.0457	0.819686
147	62.4711	0.819622
148	62.8969	0.819555
149	63.3183	0.819488
150	63.7428	0.819426
151	64.1688	0.819362
152	64.5944	0.819299
153	65.0199	0.819238
154	65.4437	0.819176
155	65.8691	0.819115
156	66.2943	0.819059
157	66.7199	0.818999
158	67.145	0.818943
159	67.5708	0.818884
160	67.9958	0.818827
161	68.4174	0.818773
162	68.843	0.818717
163	69.2685	0.818665
164	69.694	0.818612
165	70.1155	0.818559
166	70.5413	0.818505
167	70.9667	0.81845
168	71.3922	0.818402
169	71.8171	0.81835
170	72.2428	0.818299
171	72.6682	0.818251
172	73.0942	0.818201
173	73.5198	0.818154
174	73.9448	0.818107
175	74.3704	0.818058
176	74.7959	0.818011
177	75.221	0.817965
178	75.646	0.817917
179	76.0689	0.817874
180	76.4928	0.817825
181	76.917	0.817781
182	77.3417	0.817737
183	77.7676	0.817694
184	78.1931	0.81765
185	78.6179	0.817607
186	79.0435	0.817568
187	79.4686	0.817529
188	79.8938	0.817489
189	80.3189	0.81745
190	80.7438	0.817409
191	81.1698	0.817369
192	81.5955	0.81733
193	82.0209	0.817292
194	82.4463	0.817255
195	82.8723	0.817219
196	83.298	0.817183
197	83.7234	0.817146
198	84.1491	0.817108
199	84.5746	0.817072
200	85.0006	0.817036
201	85.4261	0.817003
202	85.8517	0.816972
203	86.2765	0.816937
204	86.7021	0.816903
205	87.1269	0.81687
206	87.5534	0.816839
207	87.9788	0.816809
208	88.4043	0.816782
209	88.8296	0.816751
210	89.2556	0.816723
211	89.6814	0.816694
212	90.1069	0.816665
