iter	time	rmse
0	2.22e-07	3.63947
1	0.280222	1.8353
2	0.560602	0.983666
3	0.840701	0.926933
4	1.12129	0.908054
5	1.40123	0.898918
6	1.68159	0.893682
7	1.96179	0.890213
8	2.24202	0.887624
9	2.52201	0.88525
10	2.80226	0.882516
11	3.08051	0.87906
12	3.3606	0.875068
13	3.64065	0.87119
14	3.92064	0.867819
15	4.20059	0.865054
16	4.48065	0.862803
17	4.76161	0.86096
18	5.04238	0.859409
19	5.32213	0.85812
20	5.60317	0.857013
21	5.88356	0.856051
22	6.16359	0.85519
23	6.44334	0.854397
24	6.7234	0.853667
25	7.00383	0.852958
26	7.2838	0.852257
27	7.56502	0.851545
28	7.84502	0.850807
29	8.12534	0.850036
30	8.40545	0.849255
31	8.68579	0.848475
32	8.96527	0.847699
33	9.2455	0.846934
34	9.52564	0.84619
35	9.80567	0.845481
36	10.0857	0.844808
37	10.3653	0.844171
38	10.6427	0.843571
39	10.9228	0.843015
40	11.2031	0.84249
41	11.4835	0.84197
42	11.7645	0.841481
43	12.0451	0.841015
44	12.3253	0.840571
45	12.6057	0.84014
46	12.8862	0.839719
47	13.1666	0.839316
48	13.4467	0.83891
49	13.7272	0.838512
50	14.0072	0.838108
51	14.2877	0.837715
52	14.5679	0.837315
53	14.8492	0.836924
54	15.1294	0.836529
55	15.4098	0.836132
56	15.6907	0.835735
57	15.9693	0.835334
58	16.2493	0.834936
59	16.5298	0.83455
60	16.8098	0.834159
61	17.0902	0.83378
62	17.3706	0.833401
63	17.651	0.833035
64	17.9312	0.832678
65	18.2115	0.832312
66	18.4937	0.831967
67	18.7738	0.831635
68	19.0539	0.831304
69	19.3337	0.830997
70	19.6139	0.830687
71	19.8938	0.8304
72	20.1752	0.830126
73	20.4527	0.829857
74	20.7329	0.829605
75	21.0134	0.829357
76	21.2937	0.829119
77	21.5739	0.828883
78	21.8542	0.828658
79	22.134	0.828435
80	22.4144	0.828218
81	22.6944	0.828005
82	22.9749	0.827795
83	23.2548	0.827596
84	23.5352	0.827398
85	23.816	0.827206
86	24.0963	0.827015
87	24.3765	0.826822
88	24.6573	0.826627
89	24.9372	0.826442
90	25.2173	0.826254
91	25.4974	0.826064
92	25.7777	0.82588
93	26.0574	0.825702
94	26.3377	0.825523
95	26.6178	0.825346
96	26.8982	0.82517
97	27.1783	0.824992
98	27.4562	0.824826
99	27.7362	0.824653
100	28.0165	0.824489
101	28.2968	0.82432
102	28.5771	0.824158
103	28.8545	0.823991
104	29.135	0.823833
105	29.4151	0.823671
106	29.6947	0.82352
107	29.9748	0.823376
108	30.2548	0.823226
109	30.5324	0.823083
