iter	smin	time	rmse
0	0	0.000374089	3.6791
12	2041.28	1.06726	1.62186
24	2642.06	2.11924	1.36404
36	2990.64	3.17188	1.24316
48	3225.67	4.22327	1.17021
60	3395.75	5.28099	1.1206
72	3523.88	6.33292	1.08438
84	3622.83	7.38746	1.05664
96	3700.44	8.43847	1.03463
108	3761.83	9.48803	1.0167
120	3810.57	10.541	1.00178
132	3849.21	11.5953	0.989144
144	3879.61	12.6465	0.978294
156	3903.24	13.7006	0.968863
168	3921.15	14.7531	0.960582
180	3934.24	15.8072	0.953243
192	3943.17	16.8599	0.946688
204	3948.33	17.9147	0.940795
216	3947.57	18.9716	0.935462
228	3931.95	20.0256	0.93061
240	3912.67	21.0792	0.926175
252	3892.18	22.1325	0.922101
264	3870.81	23.1869	0.918345
276	3848.79	24.2391	0.914868
288	3826.2	25.2953	0.91164
300	3803.17	26.347	0.908631
312	3779.8	27.3984	0.90582
324	3756.17	28.4537	0.903187
336	3732.34	29.5129	0.900713
348	3708.38	30.57	0.898384
360	3684.32	31.629	0.896187
372	3660.23	32.6868	0.89411
384	3636.12	33.7476	0.892143
396	3612.05	34.8072	0.890277
408	3588.04	35.8667	0.888503
420	3564.11	36.9303	0.886814
432	3540.29	37.9899	0.885204
444	3516.59	39.0522	0.883667
456	3493.04	40.113	0.882197
468	3469.67	41.1724	0.880791
480	3446.48	42.2341	0.879443
492	3423.49	43.2942	0.87815
504	3400.71	44.3526	0.876907
516	3378.13	45.414	0.875713
