iter	time	rmse
0	7.7e-08	3.64049
2	1.38043	0.986263
4	2.7627	0.908723
6	4.14333	0.893857
8	5.52423	0.887868
10	6.90523	0.883903
12	8.28586	0.878215
14	9.66558	0.870554
16	11.042	0.864534
18	12.4222	0.860482
20	13.8037	0.857675
22	15.1851	0.855575
24	16.5641	0.853841
26	17.9367	0.852235
28	19.3179	0.850634
30	20.6974	0.848999
32	22.0788	0.847363
34	23.4595	0.845828
36	24.8397	0.844445
38	26.22	0.843222
40	27.6002	0.842151
42	28.9804	0.841215
44	30.3585	0.840322
46	31.7344	0.839512
48	33.1158	0.838741
50	34.4942	0.837982
52	35.8745	0.837232
54	37.2556	0.836504
56	38.6376	0.835771
58	40.0195	0.83503
60	41.4008	0.834293
62	42.7797	0.833559
64	44.1624	0.83283
66	45.544	0.832133
