iter	smin	time	rmse
0	0	1.5883e-05	3.6791
2	1640.23	1.7241	2.52704
4	3006.56	3.22639	2.00641
6	3896.7	4.72847	1.71755
8	4558.15	6.2306	1.53063
10	5067.09	7.73345	1.39923
12	5463.69	9.23762	1.30183
14	5776.56	10.738	1.22702
16	6027.37	12.2406	1.16816
18	6231.55	13.7439	1.12103
20	6399.55	15.2485	1.0828
22	6538.51	16.7504	1.05145
24	6653.55	18.2505	1.02549
26	6748.6	19.7513	1.0038
28	6827.01	21.2551	0.985489
30	6891.57	22.7564	0.969903
32	6944.64	24.2575	0.956519
34	6988.26	25.7577	0.944935
36	7024.08	27.2623	0.934841
38	7053.39	28.7638	0.925982
40	7077.16	30.2644	0.918164
42	7096.08	31.765	0.911228
44	7110.52	33.2679	0.905046
46	7120.65	34.7691	0.899509
48	7126.56	36.2708	0.894533
50	7128.27	37.7728	0.89004
52	7125.71	39.2778	0.885966
54	7118.84	40.7796	0.882261
56	7107.67	42.2822	0.878879
58	7092.2	43.7838	0.875779
60	7072.45	45.2858	0.872933
