iter	time	rmse
0	1.33e-07	3.63611
5	1.22944	0.898246
10	2.38611	0.882605
15	3.55987	0.865407
20	4.59379	0.856915
25	5.64665	0.852831
30	6.65248	0.849294
35	7.65638	0.845498
40	8.66066	0.842446
45	9.66316	0.840144
50	10.6653	0.838261
55	11.6683	0.836566
60	12.6729	0.83495
65	13.6758	0.833331
70	14.685	0.831687
75	15.6882	0.830185
80	16.7002	0.828865
85	17.703	0.827712
90	18.7076	0.826694
95	19.7277	0.825765
100	20.7413	0.824895
105	21.7596	0.824081
110	22.7757	0.82333
115	23.8011	0.82264
120	24.8319	0.822026
125	25.874	0.821512
130	26.8841	0.821064
135	27.9045	0.820671
140	28.9066	0.820322
145	29.926	0.820017
150	30.9518	0.81974
155	32.0362	0.819493
160	33.1885	0.819266
165	34.3545	0.819053
170	35.5124	0.818853
175	36.5305	0.818666
180	37.568	0.818495
185	38.6007	0.818328
190	39.6357	0.818178
195	40.8538	0.818044
200	42.0521	0.81792
205	43.264	0.817809
210	44.4116	0.817703
215	45.4686	0.817607
