iter	time	rmse
0	1.61e-07	3.63614
1	0.201115	1.83508
2	0.402178	0.981902
3	0.603467	0.925916
4	0.804482	0.907383
5	1.00529	0.898412
6	1.20669	0.893296
7	1.40796	0.889923
8	1.60886	0.887472
9	1.81027	0.885381
10	2.01113	0.883071
11	2.21257	0.880127
12	2.4143	0.876419
13	2.61526	0.872481
14	2.81624	0.868909
15	3.0171	0.865932
16	3.21837	0.863471
17	3.41978	0.86147
18	3.62062	0.859803
19	3.8217	0.858423
20	4.02329	0.857255
21	4.22421	0.856245
22	4.42513	0.855344
23	4.62558	0.854526
24	4.82642	0.853777
25	5.0279	0.853054
26	5.22878	0.852339
27	5.42963	0.851632
28	5.63095	0.850894
29	5.83221	0.85014
30	6.03316	0.849344
31	6.23471	0.848556
32	6.43568	0.84778
33	6.63688	0.847003
34	6.83831	0.846259
35	7.03853	0.845543
36	7.23898	0.844869
37	7.43927	0.844237
38	7.63965	0.843638
39	7.84057	0.843076
40	8.04092	0.842555
41	8.24115	0.842057
42	8.44145	0.841586
43	8.64175	0.841137
44	8.84215	0.840721
45	9.04238	0.840307
46	9.24268	0.839922
47	9.44333	0.839544
48	9.64363	0.839186
49	9.84385	0.838833
50	10.0444	0.838486
51	10.2446	0.838144
52	10.445	0.837817
53	10.6455	0.837493
54	10.8457	0.837171
55	11.0461	0.836852
56	11.2466	0.836541
57	11.4469	0.836239
58	11.6473	0.83593
59	11.8476	0.835628
60	12.0478	0.835334
61	12.2488	0.835035
62	12.4491	0.834736
63	12.6494	0.834423
64	12.8496	0.834111
65	13.0499	0.833802
66	13.2504	0.83349
67	13.4507	0.833186
68	13.6509	0.832878
69	13.8516	0.832568
70	14.0522	0.832256
71	14.2524	0.831941
72	14.4527	0.831633
73	14.6529	0.831328
74	14.8532	0.831023
75	15.0537	0.83073
76	15.2539	0.83044
77	15.4543	0.830157
78	15.6545	0.82988
79	15.8549	0.829619
80	16.0553	0.82936
81	16.2556	0.829102
82	16.4559	0.828857
83	16.6559	0.828619
84	16.8563	0.828389
85	17.057	0.828163
86	17.2573	0.827938
87	17.4574	0.827718
88	17.6591	0.827509
89	17.8595	0.827303
90	18.0598	0.827105
91	18.2603	0.826906
92	18.4607	0.82671
93	18.6613	0.826521
94	18.8616	0.826331
95	19.0619	0.826154
96	19.2623	0.825973
97	19.4626	0.825803
98	19.6629	0.825631
99	19.8634	0.825459
100	20.0637	0.825294
101	20.2639	0.825133
102	20.4645	0.824966
103	20.6648	0.824808
104	20.8651	0.824651
105	21.0655	0.824497
106	21.266	0.824343
107	21.4663	0.824192
108	21.667	0.82404
109	21.8672	0.823898
110	22.0675	0.823758
111	22.2683	0.823617
112	22.4689	0.823483
113	22.6692	0.82335
114	22.8696	0.823214
115	23.0704	0.823087
116	23.271	0.822961
