iter	time	rmse
0	9.3e-08	3.6404
2	1.35122	0.98593
4	2.70564	0.908723
6	4.05914	0.89389
8	5.41301	0.88792
10	6.76655	0.883963
12	8.12189	0.878274
14	9.4804	0.870602
16	10.8368	0.864533
18	12.1897	0.86047
20	13.5431	0.857656
22	14.8971	0.855564
24	16.25	0.85384
26	17.6046	0.852263
28	18.9545	0.850667
30	20.3057	0.849029
32	21.6599	0.84739
34	23.0149	0.845832
36	24.3684	0.844437
38	25.7241	0.843183
40	27.0627	0.842087
42	28.4139	0.841112
44	29.7699	0.840217
46	31.1136	0.839396
48	32.4674	0.838597
50	33.8234	0.837829
52	35.1816	0.837074
54	36.5385	0.836332
56	37.8929	0.835584
58	39.2487	0.834839
60	40.6022	0.834099
62	41.9516	0.833349
64	43.3079	0.832631
66	44.6626	0.831938
68	46.019	0.831269
