iter	smin	time	rmse
0	0	1.33e-05	3.6791
1	533.361	1.5157	2.93631
2	822.102	2.95232	2.553
3	1046.44	4.25812	2.31972
4	1229.45	5.5574	2.15858
5	1384.59	6.85615	2.03824
6	1519.53	8.15645	1.94369
7	1639.05	9.45837	1.86672
8	1746.36	10.7583	1.80239
9	1843.75	12.0588	1.74755
10	1932.9	13.3578	1.70003
11	2015.05	14.6633	1.65833
12	2091.21	15.9636	1.62133
13	2162.16	17.2631	1.58821
14	2228.53	18.5627	1.55833
15	2290.84	19.8627	1.53119
16	2349.53	21.1616	1.50639
17	2404.97	22.4608	1.48361
18	2457.46	23.7655	1.4626
19	2507.27	25.0653	1.44313
20	2554.64	26.3645	1.42503
21	2599.76	27.6645	1.40815
22	2642.82	28.9642	1.39235
23	2683.97	30.2701	1.37753
24	2723.35	31.573	1.36359
25	2761.08	32.8739	1.35044
26	2797.28	34.174	1.33803
27	2832.05	35.474	1.32627
28	2865.47	36.7741	1.31512
29	2897.64	38.0734	1.30453
30	2928.62	39.3728	1.29445
31	2958.48	40.6707	1.28485
32	2987.29	41.9695	1.27568
33	3015.1	43.2699	1.26692
34	3041.97	44.5696	1.25854
35	3067.93	45.87	1.25052
