iter	time	rmse
0	1.22e-07	3.6405
2	1.38272	0.985142
4	2.76313	0.907585
6	4.13828	0.892764
8	5.51888	0.886814
10	6.89916	0.882874
12	8.28087	0.87719
14	9.65733	0.869509
16	11.0365	0.863486
18	12.4167	0.859444
20	13.796	0.856639
22	15.1742	0.854565
24	16.5538	0.852833
26	17.9336	0.851263
28	19.3128	0.849684
30	20.693	0.848041
32	22.0731	0.846419
34	23.4496	0.844892
36	24.829	0.843511
38	26.2089	0.84229
40	27.5899	0.841233
42	28.9697	0.840274
44	30.3522	0.839393
46	31.7329	0.838578
48	33.1138	0.837809
50	34.4951	0.837052
52	35.8745	0.836329
54	37.2544	0.835602
56	38.6324	0.83488
58	40.0129	0.834146
60	41.3927	0.833416
62	42.7715	0.832704
64	44.1508	0.831982
66	45.5304	0.83129
