iter	smin	time	rmse
0	0	0.00033557	3.6791
7	1033.21	1.00652	1.83412
15	1305.67	2.07658	1.50568
23	1475.12	3.14937	1.35841
31	1597.36	4.24952	1.27108
39	1690.51	5.3279	1.21222
47	1763.62	6.37937	1.16945
55	1822.16	7.45598	1.13675
63	1869.73	8.55194	1.11084
71	1908.83	9.62207	1.08972
79	1941.2	10.6832	1.07213
87	1968.17	11.7587	1.05722
95	1990.7	12.8418	1.04439
103	2009.55	13.9131	1.03322
111	2025.31	14.9519	1.02339
119	2038.43	15.9964	1.01466
127	2049.28	17.0411	1.00684
135	2058.21	18.0776	0.9998
143	2065.43	19.1202	0.993412
151	2071.18	20.1828	0.987587
159	2075.64	21.2319	0.982248
167	2078.95	22.2789	0.977334
175	2081.23	23.3358	0.972793
183	2082.62	24.3966	0.968579
191	2083.2	25.4694	0.964657
199	2083.07	26.5281	0.960995
207	2082.28	27.6309	0.957567
215	2080.92	28.72	0.954347
223	2079.05	29.8087	0.951318
231	2076.7	30.9174	0.948459
239	2073.94	31.9665	0.945758
247	2070.79	33.0635	0.943199
255	2067.31	34.1411	0.94077
263	2063.52	35.2624	0.938462
270	2059.99	36.2779	0.936533
277	2056.26	37.3245	0.934683
284	2052.36	38.3886	0.932907
291	2048.29	39.4006	0.931199
298	2044.07	40.48	0.929556
305	2039.73	41.5411	0.927973
312	2035.27	42.6086	0.926448
319	2030.71	43.6477	0.924975
327	2025.37	44.8083	0.923354
334	2020.6	45.9323	0.921987
