iter	time	rmse
0	1.64e-07	3.636
1	0.200682	1.83164
2	0.40094	0.981694
3	0.600999	0.925718
4	0.801221	0.907096
5	1.00188	0.898112
6	1.20215	0.892912
7	1.40242	0.889524
8	1.60281	0.887111
9	1.80313	0.8851
10	2.00365	0.883027
11	2.20408	0.880363
12	2.40426	0.876898
13	2.60453	0.873004
14	2.80529	0.869313
15	3.00557	0.866149
16	3.20604	0.863564
17	3.40623	0.861454
18	3.60649	0.859696
19	3.8073	0.858239
20	4.00757	0.857008
21	4.20802	0.85595
22	4.40841	0.854982
23	4.60875	0.854119
24	4.8092	0.853303
25	5.00953	0.852525
26	5.2098	0.851759
27	5.41026	0.850966
28	5.61066	0.850175
29	5.81089	0.849353
30	6.01134	0.848537
31	6.21142	0.847715
32	6.41172	0.846901
33	6.61189	0.846105
34	6.81217	0.845358
35	7.01276	0.844644
36	7.213	0.843962
37	7.41349	0.843324
38	7.61394	0.842734
39	7.81422	0.842163
40	8.0145	0.841642
41	8.21491	0.841146
42	8.41545	0.840675
43	8.61589	0.840219
44	8.81628	0.839789
45	9.01649	0.83937
46	9.21712	0.838959
47	9.41741	0.838577
48	9.6177	0.838186
49	9.81812	0.837812
50	10.0184	0.837438
51	10.2187	0.837081
52	10.4192	0.836711
53	10.6196	0.836352
54	10.8198	0.83599
55	11.0205	0.83563
56	11.2208	0.835278
57	11.421	0.834929
58	11.6214	0.834568
59	11.8216	0.834218
60	12.0228	0.833867
61	12.2232	0.833512
62	12.4235	0.833162
63	12.624	0.832807
64	12.8246	0.832461
65	13.0249	0.832115
66	13.2253	0.831776
67	13.4256	0.831446
68	13.626	0.831115
69	13.8287	0.830796
70	14.029	0.830479
71	14.2299	0.830181
72	14.4302	0.829877
73	14.6308	0.829589
74	14.8313	0.829307
75	15.0315	0.829031
76	15.2317	0.828771
77	15.4323	0.828527
78	15.633	0.828275
79	15.8336	0.828046
80	16.0338	0.827814
81	16.234	0.827598
82	16.4349	0.827378
83	16.6353	0.827165
84	16.8356	0.826957
85	17.0361	0.826758
86	17.2364	0.826552
87	17.4369	0.826355
88	17.6373	0.826168
89	17.8376	0.825984
90	18.0382	0.825799
91	18.2388	0.82562
92	18.4392	0.825436
93	18.6397	0.825256
94	18.8399	0.825076
95	19.0401	0.824891
96	19.2425	0.824717
97	19.4429	0.824547
98	19.6435	0.824373
99	19.8441	0.824206
100	20.0445	0.824042
101	20.2549	0.823873
102	20.4561	0.82371
103	20.6563	0.823547
104	20.8565	0.823386
105	21.0577	0.823228
106	21.258	0.823077
107	21.4584	0.822925
108	21.6587	0.822779
109	21.8589	0.822628
110	22.0596	0.822482
111	22.2596	0.822345
112	22.4598	0.822214
113	22.6604	0.822073
114	22.8608	0.821941
115	23.0611	0.821815
116	23.2614	0.821695
117	23.4616	0.821573
118	23.6621	0.821457
119	23.8625	0.821347
120	24.0629	0.821235
121	24.2634	0.821127
122	24.4636	0.821023
123	24.6662	0.820919
124	24.8668	0.820824
125	25.0671	0.820729
126	25.2673	0.820636
127	25.4679	0.820544
128	25.6685	0.820448
129	25.869	0.820364
130	26.0692	0.820282
131	26.2695	0.8202
132	26.4702	0.820116
133	26.6704	0.820036
134	26.8707	0.819963
135	27.0712	0.819886
136	27.2714	0.819815
137	27.4722	0.819742
138	27.6725	0.819674
139	27.8727	0.819605
140	28.0732	0.819534
141	28.2736	0.819469
142	28.4739	0.819404
143	28.6744	0.819344
144	28.8746	0.819286
145	29.0748	0.819226
146	29.2754	0.819168
147	29.4757	0.819113
148	29.6761	0.819056
149	29.8764	0.819002
150	30.0789	0.818949
151	30.2795	0.818897
152	30.4796	0.818847
153	30.68	0.818798
154	30.8804	0.818748
155	31.081	0.818699
156	31.2814	0.81865
157	31.488	0.818604
158	31.6888	0.818559
159	31.891	0.818516
160	32.0967	0.818471
161	32.2972	0.818425
162	32.4979	0.818381
163	32.6982	0.818339
164	32.8989	0.818298
165	33.0994	0.818258
166	33.3001	0.818213
167	33.5006	0.81817
168	33.7011	0.818133
169	33.9014	0.818093
170	34.1021	0.818055
171	34.3026	0.818022
172	34.5031	0.817987
173	34.704	0.817953
174	34.9044	0.817917
175	35.1047	0.81788
176	35.3053	0.817847
177	35.506	0.817815
178	35.7067	0.817782
179	35.907	0.817749
180	36.1077	0.817719
181	36.3084	0.817688
182	36.5091	0.817658
183	36.7095	0.81763
184	36.9101	0.817601
185	37.1105	0.817574
186	37.311	0.817546
187	37.5115	0.817518
188	37.7118	0.817492
189	37.9125	0.817465
190	38.1128	0.817436
191	38.3132	0.817411
192	38.5139	0.817389
193	38.7143	0.817365
194	38.9147	0.817342
195	39.1148	0.817318
196	39.3153	0.817297
197	39.5157	0.817273
198	39.7161	0.817251
199	39.9165	0.81723
200	40.1174	0.817208
201	40.3179	0.817188
202	40.5184	0.817166
203	40.719	0.817143
204	40.9193	0.817125
205	41.1201	0.817105
206	41.3208	0.817085
207	41.5212	0.817065
208	41.7218	0.817045
209	41.9223	0.817028
210	42.1226	0.817011
211	42.3231	0.816994
212	42.5233	0.816979
213	42.7236	0.816964
214	42.9243	0.816949
215	43.1245	0.816931
216	43.325	0.816916
217	43.5252	0.816901
218	43.7258	0.816887
219	43.9263	0.816871
220	44.1265	0.816856
221	44.3267	0.816838
222	44.5273	0.816824
223	44.7279	0.816812
224	44.9281	0.816797
225	45.1285	0.816781
226	45.3288	0.816766
227	45.5293	0.816753
228	45.7311	0.816743
229	45.9317	0.816729
230	46.1322	0.816717
231	46.3324	0.816705
232	46.5334	0.816693
233	46.7339	0.816682
234	46.9341	0.816672
235	47.1343	0.81666
236	47.3349	0.816648
237	47.535	0.816637
238	47.7359	0.816627
239	47.9365	0.816613
240	48.1371	0.816604
241	48.3384	0.816592
242	48.5391	0.816584
243	48.7396	0.816573
244	48.9402	0.816564
245	49.1409	0.816555
246	49.3415	0.816546
247	49.543	0.816537
248	49.7437	0.816528
249	49.9443	0.816519
250	50.1456	0.816508
251	50.3461	0.816501
252	50.5467	0.816493
253	50.7476	0.816484
