iter	time	rmse
0	1.24e-07	3.63942
4	1.11885	0.907788
8	2.23801	0.887133
12	3.36091	0.874706
16	4.48028	0.862385
20	5.6003	0.856573
24	6.71874	0.853201
28	7.83756	0.850311
32	8.95627	0.847207
36	10.0741	0.844285
40	11.1935	0.841927
44	12.3118	0.83998
48	13.4302	0.838251
52	14.5573	0.836552
56	15.7111	0.834892
60	16.8311	0.83327
64	17.9505	0.831774
68	19.1062	0.830446
72	20.2249	0.829322
76	21.3654	0.828353
80	22.4851	0.827513
84	23.6027	0.826738
88	24.743	0.826024
92	25.8652	0.82532
96	27.0452	0.824641
100	28.1589	0.823972
104	29.2773	0.823317
108	30.4692	0.822701
112	31.5876	0.822141
116	32.7063	0.821616
120	33.8259	0.821148
124	34.9449	0.820721
128	36.0632	0.820331
132	37.1818	0.819975
136	38.3017	0.819654
140	39.4418	0.819363
144	40.5727	0.81908
148	41.6922	0.818819
152	42.8111	0.81858
156	43.9435	0.818366
160	45.0625	0.818158
