iter	smin	time	rmse
0	0	0.00111991	3.6791
13	5839.59	1.03122	1.2614
26	7150.14	2.04099	1.0035
39	7527.37	3.04348	0.92178
52	7565.31	4.04921	0.885888
65	7396.65	5.0494	0.866644
78	7072.38	6.05414	0.854888
91	6625.56	7.05955	0.847005
104	6097.38	8.0664	0.841344
117	5537.68	9.11979	0.837004
130	4991.76	10.201	0.833503
143	4490.83	11.2463	0.830569
156	4011.44	12.2555	0.828059
169	3576.23	13.3366	0.825913
181	3306.69	14.3482	0.824212
193	3146.46	15.369	0.822747
205	3077.17	16.4018	0.821507
217	3076.93	17.4382	0.820462
230	3070.17	18.4698	0.81947
244	3021.3	19.546	0.818487
258	2998.6	20.6226	0.817581
271	3001.64	21.6504	0.816832
283	3006.18	22.6889	0.81623
296	2994.16	23.7499	0.815677
309	2951.87	24.8289	0.815187
322	2869.9	25.9108	0.814733
334	2766.15	26.9335	0.814341
346	2673.31	27.9882	0.813997
358	2625.34	29.0068	0.813703
371	2626.51	30.0804	0.81342
384	2657.15	31.1632	0.813174
397	2691.64	32.2304	0.812969
410	2715.25	33.2515	0.8128
423	2719.16	34.2886	0.812659
436	2702.08	35.3099	0.812534
449	2673.04	36.3532	0.812407
462	2646.05	37.4342	0.812275
475	2631.87	38.4899	0.812154
487	2632.01	39.5234	0.812062
500	2640.8	40.5847	0.811987
513	2649.94	41.6046	0.811939
525	2653.63	42.6129	0.81192
538	2651.43	43.6778	0.811922
551	2649.63	44.7373	0.811918
564	2648.44	45.7623	0.811914
